opportunity_label,type,reason_code,side_pattern,cycles_seen,occurrence_pct,first_cycle,last_cycle,avg_net_profit_usd,min_net_profit_usd,max_net_profit_usd,avg_roi_pct,min_roi_pct,max_roi_pct,avg_required_capital_usd,avg_pair_fill_prob,avg_toxicity,avg_confidence,avg_book_depth_ratio,avg_realized_ev_score,avg_market_volume,median_time_to_resolution_h,median_time_to_resolution_human,realness_score,realness_tier,why,risk_flags,when_money
Will JD Vance win the 2028 US Presidential Election?,correlation_arb,corr_complement_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,1136.6532,1136.618,1136.73,113.6653,113.6618,113.673,1000.0,1.0,0.0,0.9977,206.741668,0.731059,28946911.63,23889.04,~2.7y,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Usually realized at resolution (~2.7y); can be monetized earlier if prices reconverge.
Will GTA 6 cost $100+?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,901.0417,901.0065,901.1186,90.1042,90.1007,90.1119,1000.0,1.0,0.0,0.9977,28.404,0.731059,4569369.24,297.04,~12.4d,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~12.4d); earlier convergence exits are possible.
Will the US confirm that aliens exist before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,538.3626,538.3274,538.4394,53.8363,53.8327,53.8439,1000.0,1.0,0.0,0.9977,47.17934,0.731059,2198049.26,7641.04,~10.5mo,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will the US confirm that aliens exist before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,515.0525,515.0173,515.1294,51.5053,51.5017,51.5129,1000.0,1.0,0.0,0.9977,20.418024,0.731059,2198049.26,7641.04,~10.5mo,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will the U.S. invade Iran before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,375.945,375.9098,376.0219,42.8459,42.8419,42.8546,877.436,1.0,0.0,0.9977,8.77436,0.731059,76827.81,7641.04,~10.5mo,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
Will the U.S. invade Iran before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,363.4102,363.375,363.4871,40.834,40.83,40.8426,889.9708,1.0,0.0,0.9977,8.899708,0.731059,76827.81,7641.04,~10.5mo,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
"Will Trump deport less than 250,000?",correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,322.6524,322.6171,322.7292,32.2652,32.2617,32.2729,1000.0,1.0,0.0,0.9977,15.12,0.731059,365440.63,720.0,~4.3w,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
Will Trump resign before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,219.4132,219.378,219.4901,21.9413,21.9378,21.949,1000.0,1.0,0.0,0.9977,18.191454,0.731059,12474.57,7641.04,~10.5mo,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
"Will Trump deport less than 250,000?",correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,168.1253,168.0901,168.2022,16.8125,16.809,16.8202,1000.0,1.0,0.0,0.9977,17.12,0.731059,365440.63,720.0,~4.3w,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~4.3w); earlier convergence exits are possible.
Will the U.S. invade Iran before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,302,100.0,1,302,136.2647,136.2295,136.3415,13.6265,13.6229,13.6342,1000.0,1.0,0.0,0.9977,11.030624,0.731059,76827.81,7641.04,~10.5mo,97.26,Very High,persisted 302/302 cycles; high model confidence; good depth,none,Typically realized at the later parent/child resolution (~10.5mo); earlier convergence exits are possible.
